episode: 7356/200000, score: -81.70000800000014, average: -94.87
episode: 7357/200000, score: -116.39999999999999, average: -94.58
episode: 7358/200000, score: -152.30000000000007, average: -96.45
episode: 7359/200000, score: -38.740007499999535, average: -94.50
episode: 7360/200000, score: -148.0, average: -94.43
episode: 7361/200000, score: -144.40000000000003, average: -95.27
episode: 7362/200000, score: -82.80000000000004, average: -94.44
episode: 7363/200000, score: -116.5, average: -94.91
episode: 7364/200000, score: 49.2000000000009, average: -93.76
episode: 7365/200000, score: -121.89999999999999, average: -96.47
episode: 7366/200000, score: -48.48640300000009, average: -94.58
episode: 7367/200000, score: -116.69999999999999, average: -93.70
episode: 7368/200000, score: -55.040004000000074, average: -91.77
episode: 7369/200000, score: -134.80000000000015, average: -92.01
episode: 7370/200000, score: -112.09999999999998, average: -91.84
episode: 7371/200000, score: -16.799999999999983, average: -92.04
episode: 7372/200000, score: -156.00000000000009, average: -92.95
episode: 7373/200000, score: -154.6000000000001, average: -93.32
episode: 7374/200000, score: -146.50000000000003, average: -97.62
episode: 7375/200000, score: -114.10000000000001, average: -97.67
episode: 7376/200000, score: -150.2000000000001, average: -97.92
episode: 7377/200000, score: -132.20000000000005, average: -98.51
episode: 7378/200000, score: -104.69999999999999, average: -98.11
episode: 7379/200000, score: -96.3544, average: -97.79
episode: 7380/200000, score: -136.60000000000005, average: -98.26
episode: 7381/200000, score: -114.89999999999998, average: -100.79
episode: 7382/200000, score: -6.954399999999509, average: -98.63
episode: 7383/200000, score: -147.20000000000007, average: -99.45
WARNING:tensorflow:Callbacks method `on_train_batch_end` is slow compared to the batch time (batch time: 0.0005s vs `on_train_batch_end` time: 0.0010s). Check your callbacks.
episode: 7384/200000, score: -107.09999999999998, average: -98.56
episode: 7385/200000, score: -118.7, average: -99.36
episode: 7386/200000, score: -125.80000000000004, average: -99.26
episode: 7387/200000, score: -107.21840060000005, average: -98.80
episode: 7388/200000, score: -149.70000000000007, average: -101.47
episode: 7389/200000, score: -149.80000000000004, average: -106.10
episode: 7390/200000, score: -33.98400359999964, average: -105.67
episode: 7391/200000, score: -95.90000000000003, average: -105.00
episode: 7392/200000, score: -99.20000000000009, average: -104.55
episode: 7393/200000, score: -118.59999999999997, average: -104.44
episode: 7394/200000, score: -146.20000000000005, average: -105.78
episode: 7395/200000, score: -117.36560300000002, average: -106.34
episode: 7396/200000, score: -80.90000000000003, average: -106.54
episode: 7397/200000, score: -98.60000000000004, average: -106.24
episode: 7398/200000, score: -123.58400359999999, average: -105.71
episode: 7399/200000, score: -115.49999999999999, average: -105.29
episode: 7400/200000, score: -52.800000000000274, average: -103.53
episode: 7401/200000, score: -101.365603, average: -104.10
episode: 7402/200000, score: -128.90000000000003, average: -103.70
episode: 7403/200000, score: -121.79999999999998, average: -103.22
episode: 7404/200000, score: -135.3000000000001, average: -103.25
episode: 7405/200000, score: -124.61840059999997, average: -107.01
episode: 7406/200000, score: -141.80000000000004, average: -108.22
episode: 7407/200000, score: -145.40000000000006, average: -108.80
episode: 7408/200000, score: 83.01040000000074, average: -104.09
episode: 7409/200000, score: 169.49999999999918, average: -99.93
episode: 7410/200000, score: -70.1000000000002, average: -98.37
episode: 7411/200000, score: -72.43760460000021, average: -96.93
episode: 7412/200000, score: -124.79999999999998, average: -97.77
episode: 7413/200000, score: -133.20000000000005, average: -98.10
episode: 7414/200000, score: -154.7000000000001, average: -102.18
episode: 7415/200000, score: -131.90000000000012, average: -102.38
episode: 7416/200000, score: -32.700000000000216, average: -102.06
episode: 7417/200000, score: -118.48640300000011, average: -102.10
